volume_range,filled_volume
(19.8, 19.9],0.4
(19.9, 20.0],0.4
(20.0, 20.1],0.1
(20.1, 20.2],0.1
(20.2, 20.3],0.1
(20.3, 20.4],0.1
(20.4, 20.5],0.1
(20.5, 20.6],0.1
(20.6, 20.7],0.1
(20.7, 20.8],0.1
(20.8, 20.9],0.1
(20.9, 21.0],0.1
(21.0, 21.1],0.1
(21.1, 21.2],0.1
(21.2, 21.3],0.1
(21.3, 21.4],0.1
(21.4, 21.5],0.1
(21.5, 21.6],0.1
(21.6, 21.7],0.1
(21.7, 21.8],0.1
(21.8, 21.9],0.1
(21.9, 22.0],0.1
(22.0, 22.1],0.1
(22.1, 22.2],0.1
(22.2, 22.3],0.1
(22.3, 22.4],0.1
(22.4, 22.5],0.1
(22.5, 22.6],0.1
(22.6, 22.7],0.1
(22.7, 22.8],0.1
(22.8, 22.9],0.1
(22.9, 23.0],0.1
(23.0, 23.1],0.1
(23.1, 23.2],0.1
(23.2, 23.3],0.1
(23.3, 23.4],0.1
(23.4, 23.5],0.1
(23.5, 23.6],0.1
(23.6, 23.7],0.1
(23.7, 23.8],0.1
(23.8, 23.9],0.1
(23.9, 24.0],0.1
(24.0, 24.1],0.1
(24.1, 24.2],0.1
(24.2, 24.3],0.1
(24.3, 24.4],0.1
(24.4, 24.5],0.1
(24.5, 24.6],0.1
(24.6, 24.7],0.1
(24.7, 24.8],0.1
(24.8, 24.9],0.1
(24.9, 25.0],0.1
(25.0, 25.1],0.0
